Ingredient,Substitute,Context,Equivalent
all-purpose flour,1 cup whole wheat flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: Replace no more than half of the all-purpose flour with this and add half again as much baking powder plus a bit more liquid to the recipe.  Compared to all-purpose flour, whole wheat flour makes baked goods denser and coarser in texture.  It provides more fiber but about the same nutrients as enriched all-purpose flour.",1 cup all-purpose flour
all-purpose flour,1 cup self-rising flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: Omit salt and baking powder from recipe.  Don't use this in yeast breads or pie crusts.",1 cup all-purpose flour
all-purpose flour,1 cup pastry flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This doesn't work well in cookies.",1 cup all-purpose flour
all-purpose flour,1 cup cake flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking:",1 cup all-purpose flour
all-purpose flour,1.1 cups cake flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: (Don't use this in bread. It also doesn't work well in cookies, quick breads, muffins, and biscuits--it makes them very crumbly. In a pinch, substitute one cup of all-purpose flour with one cup plus two tablespoons of cake flour.",1 cup all-purpose flour
all-purpose flour,1 cup barley flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This has a mild flavor and works especially well in pancakes, cookies, and quick breads.  Replace up to half of any wheat flour in a recipe with this.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup buckwheat flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is especially good in pancakes.  It tends to make baked goods heavier and stronger tasting.  Replace up to half of the wheat flour in any recipe with this.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup oat flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is especially good in quick breads and cookies.  It makes baked goods moister, chewier, and more crumbly.  Contains some gluten.",1 cup all-purpose flour
all-purpose flour,1 cup rice flour brown,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is especially good for those with wheat allergies; replace up to 1/4 of any wheat flour with this.  Baked goods made with rice flour tend to be crumbly, so consider substituting a mixture of one part arrowroot or other thickener plus four parts rice flour.  Adding more eggs is another way to reduce crumbliness.  Since rice flour absorbs more moisture, you may need to add more liquid to recipe.",1 cup all-purpose flour
all-purpose flour,1 cup corn flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This is a good substitute for those with wheat allergies.",1 cup all-purpose flour
all-purpose flour,1 cup millet flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: This has a more pronounced flavor than all-purpose flour, and it tends to make baked goods coarse and dry.  Replace up to 1/5 of any wheat flour with this.",1 cup all-purpose flour
all-purpose flour,0.88 cups potato flour,"The category is: Wheat Flours. Bleached and unbleached versions of all-purpose flour can be used interchangeably, though bleached flour is whiter and has less vitamin E than unbleached. For general baking: Replace up to 1/4 of any wheat flour in a recipe with this.  Substitute 5/8 cup potato flour for 1 cup all-purpose flour.",1 cup all-purpose flour
